db_id,imdb_id,name,year,gross,budget,length,theater,critic_score,audience_score,meta_score,imdb_rating,sequel,total_cast_award_win,total_cast_award_nominate,genre_id,mpaa,genre_document,genre_drama,genre_comedy,genre_mystery,genre_news,genre_sports,genre_scifi,genre_romance,genre_family,genre_biography,genre_music,genre_adventure,genre_crime,genre_war,genre_musical,genre_fantasy,genre_thriller,genre_horror,genre_animation,genre_action,genre_history,genre_western,genre_adult,genre_filmnoir
2270439,242423.0,"Dude, Where's My Car?",2000,46729374,13000000.0,83.0,2100.0,0.36,0.56,30.0,5.5,0,0,0,04_05_08,PG-13,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2297392,195685.0,Erin Brockovich,2000,125548685,52000000.0,131.0,3070.0,0.73,0.7,73.0,7.2,0,5,32,03_13,R,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2319544,195714.0,Final Destination,2000,53302314,23000000.0,98.0,2587.0,0.47,0.68,36.0,6.8,0,0,0,22,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2320086,181536.0,Finding Forrester,2000,51768623,43000000.0,136.0,2002.0,0.65,0.7,62.0,7.3,0,10,26,03,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2334759,186151.0,Frequency,2000,44983704,31000000.0,118.0,2631.0,0.65,0.68,67.0,7.3,0,2,4,03_08_17_21,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2349084,208988.0,Get Carter,2000,14967182,40000000.0,102.0,2315.0,0.72,0.76,24.0,5.0,0,8,39,03_17_21_24,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2352791,210075.0,Girlfight,2000,1523941,1000000.0,110.0,253.0,0.73,0.7,70.0,6.9,0,0,9,03_07,R,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354379,172495.0,Gladiator,2000,187705427,103000000.0,155.0,3188.0,0.71,0.76,64.0,8.5,0,1,10,03_24,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2360952,176783.0,Gossip,2000,5108820,24000000.0,90.0,1525.0,0.44,0.58,31.0,5.9,0,3,7,03_05_21,R,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2365166,212974.0,Groove,2000,1114943,500000.0,86.0,50.0,0.61,0.76,54.0,6.4,0,0,0,03_14,R,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2367513,171356.0,Gun Shy,2000,1631839,10000000.0,101.0,296.0,0.45,0.58,42.0,5.6,0,2,11,04_09_17,R,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2373592,162983.0,Hanging Up,2000,36037909,60000000.0,94.0,2618.0,0.38,0.54,33.0,4.7,0,13,74,03_04,PG-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385811,195778.0,Here on Earth,2000,10494147,15000000.0,96.0,1713.0,0.38,0.62,25.0,5.0,0,0,2,03_09,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2389361,144964.0,Highlander: Endgame,2000,12801190,15000000.0,87.0,1546.0,0.33,0.56,21.0,4.5,1,0,0,08_16_20_24,R,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2394744,164052.0,Hollow Man,2000,73209340,95000000.0,112.0,2956.0,0.44,0.52,24.0,5.7,0,1,8,08_21_24,R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2409770,167203.0,I Dreamed of Africa,2000,6543194,34000000.0,114.0,2112.0,0.37,0.62,33.0,5.5,0,3,10,03_09_16,PG-13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2466857,171433.0,Keeping the Faith,2000,37036404,30000000.0,128.0,2171.0,0.62,0.6,60.0,6.5,0,14,42,03_04_09,PG-13,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2537098,185431.0,Little Nicky,2000,39442871,80000000.0,90.0,2910.0,0.39,0.6,38.0,5.3,0,8,18,04_20,PG-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2548972,182295.0,Love's Labour's Lost,2000,284291,13000000.0,93.0,14.0,0.56,0.62,35.0,6.1,0,2,20,04_09_19,PG,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2550837,219952.0,Lucky Numbers,2000,10014234,65000000.0,105.0,2528.0,0.4,0.5,31.0,5.0,0,3,31,04_17,R,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2551740,160498.0,Luminarias,2000,428535,1000000.0,100.0,51.0,0.61,0.64,41.0,3.6,0,1,3,04_09,R,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2575804,212338.0,Meet the Parents,2000,166244045,55000000.0,108.0,2697.0,0.69,0.72,73.0,7.0,0,2,12,04_09,PG-13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578566,203019.0,Men of Honor,2000,48814909,32000000.0,129.0,2188.0,0.53,0.72,56.0,7.1,0,5,19,03_13,R,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
