db_id,imdb_id,name,year,gross,budget,length,theater,critic_score,audience_score,meta_score,imdb_rating,sequel,total_cast_award_win,total_cast_award_nominate,genre_id,mpaa,genre_document,genre_drama,genre_comedy,genre_mystery,genre_news,genre_sports,genre_scifi,genre_romance,genre_family,genre_biography,genre_music,genre_adventure,genre_crime,genre_war,genre_musical,genre_fantasy,genre_thriller,genre_horror,genre_animation,genre_action,genre_history,genre_western,genre_adult,genre_filmnoir
2133877,168515.0,Bittersweet Motel,2000,380927,,82.0,16.0,,,47.0,8.0,0,0,0,01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2137567,163983.0,Bless the Child,2000,29374178,40000000.0,107.0,2524.0,0.3,0.56,17.0,5.0,0,5,24,03_17_21_22,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2137593,,Blessed Art Thou,2000,15047,,90.0,,,,,,0,0,0,03_20,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2140906,225196.0,Blue Moon,2000,56304,,89.0,14.0,,,29.0,6.6,0,0,4,03_04,PG-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2143148,181984.0,Boiler Room,2000,16938179,8000000.0,120.0,1335.0,,,63.0,7.0,0,3,5,03_17_21,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2144599,250264.0,Bonhoeffer: Agent of Grace,2000,296181,,88.0,,,,,6.5,0,0,0,03_17_18_21_25,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
2145140,229260.0,Book of Shadows: Blair Witch 2,2000,26421314,15000000.0,90.0,,0.34,0.42,15.0,4.0,1,3,6,05_21_22,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2145495,210584.0,Bootmen,2000,21172,,95.0,,0.49,0.66,45.0,6.2,0,0,0,03_04_09,R,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2146041,217287.0,Boricua's Bond,2000,103163,,105.0,24.0,0.36,0.66,21.0,3.9,0,0,0,03,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2146660,180837.0,Bossa Nova,2000,1816792,,95.0,59.0,0.65,0.64,57.0,6.5,0,0,3,03_04_09,R,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2147189,186894.0,Bounce,2000,36779296,35000000.0,106.0,2028.0,0.55,0.54,52.0,5.7,0,8,18,03_09,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2147206,238066.0,Bounce: Behind the Velvet Rope,2000,7502,,71.0,1.0,0.52,0.58,36.0,6.7,0,0,2,01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148322,204175.0,Boys and Girls,2000,20627372,16000000.0,94.0,1989.0,0.38,0.58,29.0,5.3,0,0,3,03_04_09,PG-13,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148394,265101.0,Boys Life 3,2000,208076,,79.0,8.0,0.54,0.7,44.0,6.3,1,0,6,03_09,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151870,204946.0,Bring It On,2000,68379000,10000000.0,98.0,2466.0,0.59,0.62,52.0,5.9,0,0,1,04_07,PG-13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153757,222851.0,Brother,2000,447750,10000000.0,114.0,56.0,,,47.0,7.3,0,0,3,03_17_21,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2155619,146516.0,Buddy Boy,2000,10281,,105.0,3.0,0.6,0.62,36.0,6.4,0,0,0,03_21,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2159329,179116.0,But I'm a Cheerleader,2000,2199853,1200000.0,85.0,115.0,0.47,0.68,39.0,6.5,0,0,4,03_04,R,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2164244,204933.0,Camera Obscura,2000,11384,,99.0,2.0,0.5,0.56,39.0,4.9,0,0,0,03_17_21,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2170852,162222.0,Cast Away,2000,233632142,90000000.0,143.0,3061.0,0.74,0.7,73.0,7.7,0,17,41,03_16,PG-13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2173134,173716.0,Cecil B. DeMented,2000,1276984,10000000.0,87.0,82.0,0.56,0.68,57.0,6.2,0,2,22,04_17_21,R,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2173977,210616.0,Center Stage,2000,17174870,18000000.0,115.0,1506.0,0.5,0.7,52.0,6.6,0,0,0,03_14,PG-13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2177475,160127.0,Charlie's Angels,2000,125305545,92000000.0,98.0,3037.0,0.62,0.58,52.0,5.5,1,2,12,04_16_17_21_24,PG-13,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
